0.6129570241,0.7464438330,0.8221213940,0.9261780404,0.8294789347,0.0000000000,0
-0.7642058743,0.1632045570,0.7480146750,1.6098064505,0.8146082769,0.0039062500,0
-0.6805156475,-0.0857408466,0.6467443471,2.1608860642,0.8069753289,0.0078125000,0
0.9398376328,0.6752780269,0.6066543369,1.5525790223,0.8227723724,0.0117187500,0
3.2509527237,2.1241634290,0.7103185099,-0.6090933617,0.8585887636,0.0156250000,0
4.9185451681,3.2282753386,1.1465586429,-2.6214824543,0.8912251783,0.0195312500,0
4.6521622095,3.0382895742,1.6278070839,-2.7690327728,0.8958940588,0.0234375000,0
2.8555304731,1.6368492207,1.5963396274,-0.9925175695,0.8694265248,0.0273437500,0
1.0175363903,0.3034722547,1.1951815405,1.1037129477,0.8383599644,0.0312500000,0
1.6100853276,0.7493051467,1.1627953575,1.0939771238,0.8414805347,0.0351562500,0
6.0733655289,3.3635144299,1.3950154438,-2.6956670777,0.8964952078,0.0390625000,0
11.7830559426,6.3427356920,1.6355097175,-8.0242187819,0.9755574318,0.0429687500,0
13.4365936925,7.0705529965,2.1911396705,-9.8926726359,1.0113807210,0.0468750000,0
6.8342485573,3.4411626355,2.5151399825,-4.0294959008,0.9349583401,0.0507812500,0
-8.7587825147,-4.9325696176,1.8638252399,10.0883586621,0.7219501415,0.0546875000,0
-30.1762557473,-15.7492451345,-0.0836397162,26.9947057611,0.4158157704,0.0585937500,0
-50.7972908817,-25.1545809145,-3.3771097468,40.2776517273,0.1096813993,0.0625000000,0
-63.7254567660,-30.1894417857,-7.5349587718,47.2852516663,-0.1033267993,0.0664062500,0
-66.3210143103,-30.1169337472,-11.3567427717,49.1281772912,-0.1797491802,0.0703125000,0
-61.7224137615,-26.6481622438,-13.3881634868,49.6025777949,-0.1439258910,0.0742187500,0
-56.0752774441,-22.7911101241,-12.8966467211,51.1079395231,-0.0648636669,0.0781250000,0
-55.2836363135,-21.2464940649,-10.6374399748,51.7816818981,-0.0098489938,0.0820312500,0
-62.5624560126,-23.0686401630,-8.6878789267,47.5821540350,-0.0067284235,0.0859375000,0
-76.3457566633,-27.0151331452,-8.8979499295,37.2733053637,-0.0377949839,0.0898437500,0
-89.6586606803,-31.0127476001,-11.6301658060,23.9016063765,-0.0642625179,0.0937500000,0
-94.7905728590,-33.6600108438,-16.0941088320,11.5473927076,-0.0595936374,0.0976562500,0
-89.3835471165,-34.6450145270,-20.9618478150,3.5234513097,-0.0269572228,0.1015625000,0
-76.5095849360,-34.6058860207,-24.7581001840,-0.1248050974,0.0088591685,0.1054687500,0
-63.0726633442,-34.4183354960,-26.6596477517,-3.4812326932,0.0246562120,0.1093750000,0
-57.2442502615,-34.8199156711,-26.5077685903,-10.0094413046,0.0170232639,0.1132812500,0
-61.2817256247,-35.5333089289,-25.1391878260,-21.5149650658,0.0021526062,0.1171875000,0
-68.7934752408,-35.4232835456,-24.4196983905,-36.9275837711,0.0000000000,0.1210937500,0
-73.2894953746,-34.5082753230,-25.2685966647,-51.0665576059,0.0000000000,0.1250000000,0
-69.9884984256,-32.9350587977,-27.5927197511,-59.6606692991,0.0000000000,0.1289062500,0
-61.8695010110,-31.0670348730,-30.8216106597,-61.2111749755,0.0000000000,0.1328125000,0
-55.1388875654,-29.4448397397,-33.6289065625,-57.5834557096,0.0000000000,0.1367187500,0
-55.6781440485,-28.8361087007,-35.3908497934,-52.8043579950,0.0000000000,0.1406250000,0
-65.8259650038,-28.9140230322,-37.1585868265,-51.3416211687,0.0000000000,0.1445312500,0
-79.3563486169,-28.3609569580,-40.3400419510,-56.5563547596,0.0000000000,0.1484375000,0
-85.9774373018,-26.1578148983,-45.1068102811,-67.6370818293,0.0000000000,0.1523437500,0
-79.7914170214,-22.3252982416,-49.9258516515,-80.0802229772,0.0000000000,0.1562500000,0
-62.4451110577,-18.4645566882,-53.1403233949,-89.6682917820,0.0000000000,0.1601562500,0
-44.9743972668,-17.2135591075,-53.6052418236,-94.6758816864,0.0000000000,0.1640625000,0
-41.4726994244,-19.7852713209,-50.8324602924,-95.7359108897,0.0000000000,0.1679687500,0
-56.7693761838,-25.3463175358,-46.3059854632,-95.4794191419,0.0000000000,0.1718750000,0
-85.9279281147,-32.5379123177,-42.4317396108,-97.6378420049,0.0000000000,0.1757812500,0
-117.7651750703,-39.4813223097,-40.4206968809,-105.7450820912,0.0000000000,0.1796875000,0
-141.1104367046,-44.8987018040,-40.0434673795,-121.2353145269,0.0000000000,0.1835937500,0
-154.0885643943,-49.7016104795,-40.5994879646,-141.5938929994,0.0000000000,0.1875000000,0
-163.0358281869,-55.4898372517,-41.2978295644,-161.9928864231,0.0000000000,0.1914062500,0
-176.1185458520,-62.7659817584,-41.6490917038,-179.1166936543,0.0000000000,0.1953125000,0
-196.5439073610,-70.1447797105,-41.5241210174,-191.4547648920,0.0000000000,0.1992187500,0
-220.0132108132,-75.1781163517,-41.2521688122,-200.7611383221,0.0000000000,0.2031250000,0
-238.9683738054,-76.3424507782,-41.1433779982,-210.9026663608,0.0000000000,0.2070312500,0
-249.5774577632,-73.6910387599,-40.8740169871,-222.3366588649,0.0000000000,0.2109375000,0
-253.5232033843,-69.0722785353,-39.6145526585,-230.6234558018,0.0000000000,0.2148437500,0
-255.3578767643,-65.4289605477,-36.9487399594,-231.6747171727,0.0000000000,0.2187500000,0
-260.0777624978,-64.4533044823,-33.8115461168,-224.6119273869,0.0000000000,0.2226562500,0
-266.9495436251,-65.3711248159,-31.2505809555,-210.8462365861,0.0000000000,0.2265625000,0
-270.4631295271,-66.2715335612,-30.1873165873,-195.9337075376,0.0000000000,0.2304687500,0
-268.2014916267,-66.1932983746,-30.5072744543,-184.7520399168,0.0000000000,0.2343750000,0
-259.8945219622,-64.9377371732,-30.5329322799,-178.5152149278,0.0000000000,0.2382812500,0
-245.8860714444,-62.5943110354,-29.0926337687,-174.5628080207,0.0000000000,0.2421875000,0
-228.8283146778,-59.8979417509,-26.0056326977,-169.7169760931,0.0000000000,0.2460937500,0
