Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Direction
1714159691.2642784,976.5625,56.640625,-62.5,552.24609375,0.0,none
1714159691.268173,-520.99609375,-253.41796875,-93.26171875,-967.28515625,0.0,none
1714159691.2720675,-1000.0,-250.9765625,-97.65625,-1000.0,0.0,none
1714159691.275962,454.58984375,44.921875,-66.89453125,25.390625,0.0,none
1714159691.2798564,999.51171875,117.67578125,-68.84765625,914.55078125,0.0,none
1714159691.283751,35.15625,-210.9375,-96.6796875,-548.828125,0.0,none
1714159691.2876456,-1000.0,-331.54296875,-117.1875,-1000.0,0.0,none
1714159691.2915401,-215.8203125,-82.03125,-106.93359375,-183.59375,0.0,none
1714159691.2954345,999.51171875,131.8359375,-68.84765625,999.51171875,0.0,none
1714159691.299329,233.88671875,-120.60546875,-50.78125,-12.20703125,0.0,none
1714159691.3032236,-1000.0,-348.14453125,-68.84765625,-1000.0,0.0,none
1714159691.3071182,-305.17578125,-121.09375,-68.359375,-598.14453125,0.0,none
1714159691.3111277,999.51171875,135.25390625,-42.48046875,999.0234375,0.0,none
1714159691.315022,466.796875,-19.53125,-43.45703125,262.20703125,0.0,none
1714159691.3189166,-1000.0,-310.05859375,-90.8203125,-1000.0,0.0,none
1714159691.3228111,-755.37109375,-225.09765625,-106.93359375,-1000.0,0.0,none
1714159691.3267057,840.8203125,59.5703125,-83.0078125,324.21875,0.0,none
1714159691.3306003,960.44921875,22.94921875,-77.63671875,408.69140625,0.0,none
1714159691.3344948,-524.90234375,-313.96484375,-78.125,-1000.0,0.0,none
1714159691.3383892,-1000.0,-288.0859375,-79.1015625,-1000.0,0.0,none
1714159691.3422837,60.05859375,44.43359375,-64.453125,-144.53125,0.0,none
1714159691.3461783,999.51171875,62.98828125,-45.8984375,672.8515625,0.0,none
1714159691.3500729,59.5703125,-216.796875,-71.77734375,-666.015625,0.0,none
1714159691.3539674,-1000.0,-300.29296875,-84.9609375,-1000.0,0.0,none
1714159691.3579648,-242.1875,-38.0859375,-62.5,-301.7578125,0.0,none
1714159691.3618593,999.51171875,121.09375,-52.734375,999.51171875,0.0,none
1714159691.365754,245.1171875,-108.88671875,-51.26953125,-47.36328125,0.0,none
1714159691.3696485,-1000.0,-271.97265625,-61.5234375,-1000.0,0.0,none
1714159691.373543,-458.984375,-98.14453125,-60.546875,-812.5,0.0,none
1714159691.3774374,999.51171875,117.1875,-34.1796875,750.48828125,0.0,none
1714159691.381332,518.06640625,-30.76171875,-21.484375,296.38671875,0.0,none
1714159691.3852265,-1000.0,-259.27734375,-39.0625,-1000.0,0.0,none
1714159691.389121,-997.55859375,-155.2734375,-37.59765625,-1000.0,0.0,none
1714159691.3930156,493.1640625,61.5234375,-36.1328125,150.87890625,0.0,none
1714159691.3969102,999.51171875,53.22265625,-42.96875,460.9375,0.0,none
1714159691.4008048,-383.7890625,-201.66015625,-50.29296875,-978.02734375,0.0,none
1714159691.404789,-1000.0,-274.4140625,-55.17578125,-1000.0,0.0,none
1714159691.4086835,-156.25,-10.7421875,-31.73828125,-146.484375,0.0,none
1714159691.412578,999.51171875,126.46484375,-19.53125,964.84375,0.0,none
1714159691.4164727,119.140625,-155.76171875,-41.015625,-391.6015625,0.0,none
1714159691.4203672,-1000.0,-321.77734375,-66.89453125,-1000.0,0.0,none
1714159691.4242618,-277.34375,-97.65625,-49.31640625,-333.49609375,0.0,none
1714159691.4281564,999.51171875,103.515625,-37.109375,999.51171875,0.0,none
1714159691.432051,246.09375,-86.42578125,-61.03515625,187.98828125,0.0,none
1714159691.4359455,-1000.0,-323.73046875,-83.49609375,-1000.0,0.0,none
1714159691.43984,-744.62890625,-187.98828125,-89.35546875,-807.6171875,0.0,none
1714159691.4437346,917.96875,79.58984375,-66.89453125,813.4765625,0.0,none
1714159691.4476292,509.765625,-18.5546875,-54.19921875,340.8203125,0.0,none
1714159691.4517045,-982.91015625,-327.1484375,-86.9140625,-1000.0,0.0,none
1714159691.455599,-1000.0,-280.76171875,-96.19140625,-1000.0,0.0,none
1714159691.4594936,98.6328125,2.44140625,-59.08203125,143.06640625,0.0,none
1714159691.4633882,946.2890625,16.11328125,-72.265625,740.234375,0.0,none
1714159691.467283,-539.0625,-286.1328125,-130.37109375,-789.55078125,0.0,none
1714159691.4711776,-1000.0,-397.94921875,-136.23046875,-1000.0,0.0,none
1714159691.4750721,-179.19921875,-105.95703125,-90.8203125,-173.828125,0.0,none
1714159691.4789667,999.51171875,73.2421875,-57.12890625,999.51171875,0.0,none
1714159691.4828613,-54.6875,-232.421875,-65.91796875,-133.30078125,0.0,none
1714159691.4867558,-1000.0,-409.1796875,-105.95703125,-1000.0,0.0,none
1714159691.4906504,-591.796875,-107.91015625,-112.79296875,-479.00390625,0.0,none
1714159691.494545,998.53515625,102.05078125,-88.37890625,999.51171875,0.0,none
1714159691.4986079,238.76953125,-128.90625,-88.37890625,214.84375,0.0,none
1714159691.5025024,-1000.0,-352.5390625,-95.21484375,-1000.0,0.0,none
1714159691.5063972,-1000.0,-202.63671875,-98.6328125,-1000.0,0.0,none
1714159691.5102918,255.37109375,46.875,-90.8203125,471.19140625,0.0,none
1714159691.5141864,335.9375,-33.69140625,-72.75390625,355.95703125,0.0,none
1714159691.518081,-1000.0,-320.80078125,-97.16796875,-1000.0,0.0,none
1714159691.5219758,-1000.0,-282.2265625,-126.46484375,-1000.0,0.0,none
1714159691.5258703,-61.03515625,-2.44140625,-109.86328125,-40.0390625,0.0,none
1714159691.529765,562.98828125,18.06640625,-104.00390625,608.3984375,0.0,none
1714159691.5336595,-867.1875,-231.93359375,-126.46484375,-842.28515625,0.0,none
1714159691.5375543,-1000.0,-229.4921875,-137.20703125,-1000.0,0.0,none
1714159691.5414488,-343.26171875,-12.20703125,-113.76953125,-201.66015625,0.0,none
1714159691.5454865,999.51171875,123.046875,-92.28515625,999.51171875,0.0,none
1714159691.549381,-115.72265625,-93.75,-104.4921875,-244.62890625,0.0,none
1714159691.5532756,-1000.0,-267.578125,-118.1640625,-1000.0,0.0,none
1714159691.5571704,-792.48046875,-86.42578125,-100.09765625,-657.2265625,0.0,none
1714159691.561065,767.08984375,115.234375,-83.0078125,905.76171875,0.0,none
1714159691.5649595,298.33984375,-46.38671875,-94.23828125,235.3515625,0.0,none
1714159691.5688543,-1000.0,-277.83203125,-123.53515625,-1000.0,0.0,none
