Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Direction
1712178536.6187804,-109.375,-29.296875,13.18359375,-90.33203125,0.0,none
1712178536.6226692,-93.26171875,-122.55859375,-89.35546875,-56.640625,0.0,none
1712178536.626558,-71.77734375,-541.50390625,-252.44140625,-62.98828125,0.0,none
1712178536.630447,-78.61328125,-378.41796875,-159.1796875,-98.14453125,0.0,none
1712178536.6343358,-103.02734375,-88.8671875,-65.4296875,-82.03125,0.0,none
1712178536.6382246,-100.5859375,-467.28515625,-251.46484375,-37.59765625,0.0,none
1712178536.6421134,-93.26171875,-911.62109375,-427.24609375,-54.6875,0.0,none
1712178536.6460023,-128.90625,-610.83984375,-232.421875,-123.53515625,0.0,none
1712178536.6498911,-140.13671875,-187.01171875,-79.1015625,-111.81640625,0.0,none
1712178536.65378,-119.62890625,-346.19140625,-110.3515625,-64.94140625,0.0,none
1712178536.6576688,-115.72265625,-472.16796875,-145.99609375,-84.9609375,0.0,none
1712178536.6615577,-126.46484375,-285.15625,-125.9765625,-125.9765625,0.0,none
1712178536.6655848,-121.58203125,-346.6796875,-170.41015625,-105.95703125,0.0,none
1712178536.669474,-109.375,-564.453125,-159.66796875,-56.15234375,0.0,none
1712178536.6733627,-116.69921875,-449.70703125,-67.3828125,-62.5,0.0,none
1712178536.6772516,-135.25390625,-304.6875,-133.7890625,-112.79296875,0.0,none
1712178536.6811404,-125.9765625,-578.61328125,-290.52734375,-112.3046875,0.0,none
1712178536.6850293,-110.83984375,-817.87109375,-331.54296875,-73.73046875,0.0,none
1712178536.688918,-128.41796875,-871.09375,-268.5546875,-85.9375,0.0,none
1712178536.692807,-146.484375,-902.34375,-297.8515625,-97.16796875,0.0,none
1712178536.696696,-136.23046875,-978.02734375,-400.390625,-114.2578125,0.0,none
1712178536.700585,-117.67578125,-936.5234375,-392.578125,-92.28515625,0.0,none
1712178536.7044737,-143.5546875,-571.2890625,-141.11328125,-91.30859375,0.0,none
1712178536.7083626,-151.3671875,-249.51171875,-72.265625,-120.1171875,0.0,none
1712178536.7124934,-121.58203125,-622.0703125,-325.1953125,-122.55859375,0.0,none
1712178536.7163823,-114.74609375,-832.03125,-364.2578125,-110.3515625,0.0,none
1712178536.720271,-136.71875,-368.65234375,-93.75,-95.21484375,0.0,none
1712178536.7241602,-129.39453125,-284.1796875,-81.0546875,-95.21484375,0.0,none
1712178536.728049,-105.46875,-769.04296875,-437.5,-88.8671875,0.0,none
1712178536.731938,-109.86328125,-1000.0,-512.20703125,-75.68359375,0.0,none
1712178536.735827,-135.7421875,-738.28125,-220.21484375,-86.9140625,0.0,none
1712178536.7397158,-151.85546875,-313.4765625,-36.62109375,-109.86328125,0.0,none
1712178536.743605,-105.95703125,-623.53515625,-378.90625,-98.14453125,0.0,none
1712178536.7474937,-97.65625,-917.96875,-563.4765625,-93.26171875,0.0,none
1712178536.7513826,-149.90234375,-433.10546875,-139.16015625,-118.1640625,0.0,none
1712178536.7552717,-141.11328125,-231.4453125,-173.33984375,-105.95703125,0.0,none
1712178536.7593844,-120.1171875,-607.421875,-313.96484375,-102.05078125,0.0,none
1712178536.7632735,-120.1171875,-769.53125,-302.24609375,-130.37109375,0.0,none
1712178536.7671623,-138.671875,-478.02734375,-221.19140625,-117.1875,0.0,none
1712178536.7710514,-140.13671875,-397.4609375,-243.65234375,-82.03125,0.0,none
1712178536.7749405,-113.76953125,-742.1875,-377.9296875,-90.8203125,0.0,none
1712178536.7788293,-103.02734375,-1000.0,-480.95703125,-120.60546875,0.0,none
1712178536.7827184,-117.1875,-974.12109375,-458.0078125,-106.4453125,0.0,none
1712178536.7866073,-127.44140625,-926.26953125,-333.49609375,-88.8671875,0.0,none
1712178536.7904963,-101.5625,-970.21484375,-530.76171875,-72.75390625,0.0,none
1712178536.7943854,-125.48828125,-938.96484375,-568.359375,-96.6796875,0.0,none
1712178536.7982743,-154.296875,-662.109375,-271.484375,-131.34765625,0.0,none
1712178536.8021634,-120.1171875,-539.0625,-240.72265625,-93.75,0.0,none
1712178536.806261,-119.140625,-589.84375,-255.859375,-86.42578125,0.0,none
1712178536.8101501,-132.8125,-474.609375,-248.53515625,-124.51171875,0.0,none
1712178536.8140392,-130.37109375,-417.48046875,-241.2109375,-143.06640625,0.0,none
1712178536.8179283,-125.0,-586.42578125,-275.87890625,-91.30859375,0.0,none
1712178536.8218174,-132.32421875,-693.84765625,-310.546875,-67.87109375,0.0,none
1712178536.8257062,-135.7421875,-740.234375,-333.0078125,-102.05078125,0.0,none
1712178536.8295953,-133.30078125,-741.2109375,-312.01171875,-138.18359375,0.0,none
1712178536.8334844,-116.69921875,-740.234375,-385.7421875,-104.00390625,0.0,none
1712178536.8373735,-110.3515625,-874.0234375,-446.2890625,-61.5234375,0.0,none
1712178536.8412626,-143.5546875,-628.90625,-225.5859375,-112.79296875,0.0,none
1712178536.8451514,-135.25390625,-506.8359375,-291.50390625,-146.484375,0.0,none
1712178536.8490405,-125.48828125,-620.60546875,-267.578125,-126.46484375,0.0,none
1712178536.8531232,-131.34765625,-455.56640625,-108.88671875,-95.703125,0.0,none
1712178536.8570123,-142.08984375,-79.1015625,-41.50390625,-107.91015625,0.0,none
1712178536.8609014,-134.27734375,-211.9140625,-184.5703125,-132.32421875,0.0,none
1712178536.8647904,-119.140625,-538.0859375,-263.671875,-125.48828125,0.0,none
1712178536.8686798,-126.953125,-373.046875,-121.09375,-103.515625,0.0,none
1712178536.8725688,-125.48828125,-273.92578125,-175.78125,-83.984375,0.0,none
1712178536.876458,-116.69921875,-610.3515625,-250.0,-110.83984375,0.0,none
1712178536.880347,-98.14453125,-949.70703125,-519.53125,-116.69921875,0.0,none
1712178536.884236,-123.53515625,-710.44921875,-407.2265625,-99.12109375,0.0,none
1712178536.8881252,-166.50390625,20.01953125,30.2734375,-123.046875,0.0,none
1712178536.8920143,-145.01953125,-66.89453125,-138.18359375,-127.44140625,0.0,none
1712178536.8959033,-131.34765625,-585.9375,-353.515625,-139.16015625,0.0,none
1712178536.8999705,-146.484375,-680.17578125,-265.625,-133.7890625,0.0,none
1712178536.9038596,-166.015625,-250.9765625,-73.73046875,-125.48828125,0.0,none
1712178536.9077487,-140.625,-262.6953125,-200.1953125,-113.76953125,0.0,none
1712178536.9116378,-123.53515625,-719.7265625,-394.53125,-114.2578125,0.0,none
1712178536.915527,-141.11328125,-581.54296875,-289.0625,-126.953125,0.0,none
1712178536.9194162,-132.8125,-552.734375,-241.69921875,-100.5859375,0.0,none
1712178536.9233053,-115.234375,-758.30078125,-394.04296875,-75.68359375,0.0,none
1712178536.9271944,-111.328125,-951.171875,-566.89453125,-99.12109375,0.0,none
1712178536.9310834,-148.92578125,-689.94140625,-308.59375,-147.4609375,0.0,none
1712178536.9349725,-161.62109375,-244.62890625,-114.2578125,-123.53515625,0.0,none
