Timestamp,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Direction
1714154968.2921152,999.51171875,99.12109375,11.23046875,999.51171875,0.0,none
1714154968.2960215,-679.19921875,-87.40234375,-0.48828125,-670.8984375,0.0,none
1714154968.2999275,-1000.0,-26.85546875,10.7421875,-1000.0,0.0,none
1714154968.3038337,498.046875,146.484375,17.08984375,432.6171875,0.0,none
1714154968.3077397,999.51171875,125.0,17.08984375,999.51171875,0.0,none
1714154968.311646,-437.98828125,-66.89453125,8.30078125,-365.234375,0.0,none
1714154968.315552,-1000.0,-77.1484375,6.34765625,-1000.0,0.0,none
1714154968.3194582,-222.16796875,107.421875,24.90234375,-330.56640625,0.0,none
1714154968.3233643,999.51171875,153.80859375,15.13671875,999.51171875,0.0,none
1714154968.3272705,330.078125,-9.765625,-22.94921875,413.0859375,0.0,none
1714154968.3311768,-1000.0,-102.5390625,-35.15625,-1000.0,0.0,none
1714154968.3350828,-852.5390625,31.73828125,-19.04296875,-899.90234375,0.0,none
1714154968.3389797,789.55078125,174.8046875,-7.8125,738.76953125,0.0,none
1714154968.342886,920.41015625,58.10546875,-10.25390625,959.9609375,0.0,none
1714154968.346792,-817.87109375,-111.81640625,-25.390625,-782.2265625,0.0,none
1714154968.3506982,-1000.0,-16.11328125,-21.97265625,-1000.0,0.0,none
1714154968.3546042,687.5,165.52734375,-3.41796875,690.4296875,0.0,none
1714154968.3585105,999.51171875,109.375,-1.46484375,999.51171875,0.0,none
1714154968.3624165,-659.1796875,-85.44921875,-12.6953125,-654.78515625,0.0,none
1714154968.3663228,-1000.0,-54.6875,-6.34765625,-1000.0,0.0,none
1714154968.370229,341.30859375,125.0,2.9296875,304.6875,0.0,none
1714154968.374135,999.51171875,145.99609375,-3.90625,999.51171875,0.0,none
1714154968.3780413,-286.1328125,-40.52734375,-14.6484375,-246.09375,0.0,none
1714154968.3819473,-1000.0,-84.9609375,-19.53125,-1000.0,0.0,none
1714154968.385811,-415.52734375,85.9375,-19.04296875,-554.19921875,0.0,none
1714154968.389717,999.51171875,196.2890625,-12.6953125,980.46875,0.0,none
1714154968.3936234,580.56640625,43.45703125,-13.18359375,657.2265625,0.0,none
1714154968.3975294,-1000.0,-99.609375,-16.6015625,-989.2578125,0.0,none
1714154968.4014356,-946.77734375,37.59765625,-13.671875,-971.19140625,0.0,none
1714154968.4053419,705.078125,194.3359375,-5.859375,684.5703125,0.0,none
1714154968.4092479,999.51171875,97.65625,-5.37109375,999.51171875,0.0,none
1714154968.4131541,-720.21484375,-85.9375,-19.04296875,-700.68359375,0.0,none
1714154968.4170601,-1000.0,23.92578125,-19.04296875,-1000.0,0.0,none
1714154968.4209664,689.94140625,218.26171875,0.48828125,640.13671875,0.0,none
1714154968.4248724,999.51171875,155.76171875,10.25390625,999.51171875,0.0,none
1714154968.4287786,-641.11328125,-35.64453125,-3.41796875,-585.44921875,0.0,none
1714154968.43294,-1000.0,-12.20703125,-5.37109375,-1000.0,0.0,none
1714154968.4368463,254.8828125,162.109375,9.765625,123.53515625,0.0,none
1714154968.4407523,999.51171875,177.24609375,15.13671875,999.51171875,0.0,none
1714154968.4446585,-109.375,-30.2734375,7.32421875,-10.7421875,0.0,none
1714154968.4485645,-1000.0,-80.078125,2.44140625,-1000.0,0.0,none
1714154968.4524708,-627.44140625,109.375,0.0,-678.22265625,0.0,none
1714154968.456377,950.68359375,218.26171875,6.8359375,916.015625,0.0,none
1714154968.460283,745.60546875,59.5703125,3.90625,796.38671875,0.0,none
1714154968.4641893,-941.89453125,-77.1484375,-9.765625,-907.2265625,0.0,none
1714154968.4680953,-995.1171875,58.10546875,5.37109375,-1000.0,0.0,none
1714154968.4720016,678.7109375,207.51953125,18.5546875,680.17578125,0.0,none
1714154968.4759076,999.51171875,94.7265625,2.44140625,999.51171875,0.0,none
1714154968.4797022,-709.47265625,-99.12109375,-14.16015625,-701.66015625,0.0,none
1714154968.4836082,-1000.0,-40.52734375,-8.30078125,-1000.0,0.0,none
1714154968.4875145,615.234375,126.46484375,11.71875,560.05859375,0.0,none
1714154968.4914205,765.13671875,104.98046875,8.7890625,796.38671875,0.0,none
1714154968.4953268,-638.671875,-56.15234375,-10.25390625,-593.75,0.0,none
1714154968.4992328,-1000.0,-42.96875,-17.578125,-1000.0,0.0,none
1714154968.503139,-83.0078125,120.1171875,-6.34765625,-62.5,0.0,none
1714154968.507045,999.51171875,168.45703125,7.32421875,999.51171875,0.0,none
1714154968.5109513,145.99609375,-11.71875,-11.23046875,274.90234375,0.0,none
1714154968.5148575,-1000.0,-123.046875,-31.25,-1000.0,0.0,none
1714154968.5187635,-776.3671875,15.625,-17.578125,-782.2265625,0.0,none
1714154968.5226698,850.09765625,181.640625,-10.25390625,856.4453125,0.0,none
1714154968.5267215,853.02734375,73.73046875,-20.99609375,899.90234375,0.0,none
1714154968.5306277,-874.51171875,-94.23828125,-34.66796875,-820.3125,0.0,none
1714154968.5345337,-1000.0,15.13671875,-24.4140625,-1000.0,0.0,none
1714154968.53844,681.640625,185.05859375,-6.34765625,685.05859375,0.0,none
