words,fft_0.00Hz,fft_10.67Hz,fft_21.33Hz,fft_32.00Hz,fft_42.67Hz,fft_53.33Hz,fft_64.00Hz,fft_74.67Hz,fft_85.33Hz,fft_96.00Hz,fft_106.67Hz,fft_117.33Hz,fft_-128.00Hz,fft_-117.33Hz,fft_-106.67Hz,fft_-96.00Hz,fft_-85.33Hz,fft_-74.67Hz,fft_-64.00Hz,fft_-53.33Hz,fft_-42.67Hz,fft_-32.00Hz,fft_-21.33Hz,fft_-10.67Hz
foo,(441.40625+0j),(900.1149852771817-609.8143098621175j),(-1140.2299551089181+282.8762854393733j),(1196.65916604371+897.9435641776447j),(-1898.193359375+496.86516086265397j),(2401.993937946584+5631.649795585883j),(5717.28515625-1635.25390625j),(84.16878918216253-1549.5103636851047j),(1616.943359375+9.72587123390727j),(802.3642714562897-539.5564358223544j),(1421.4799551089186-204.2630041893732j),(611.7691625940722-866.1541505911291j),(118.16406249999989+0j),(611.769162594072+866.1541505911292j),(1421.4799551089181+204.26300418937336j),(802.3642714562898+539.5564358223546j),(1616.943359375-9.72587123390727j),(84.16878918216253+1549.5103636851047j),(5717.28515625+1635.25390625j),(2401.993937946584-5631.649795585882j),(-1898.193359375-496.86516086265397j),(1196.65916604371-897.943564177645j),(-1140.2299551089181-282.87628543937336j),(900.1149852771816+609.8143098621172j)
foo,(-192.3828125+0j),(-44.31694007957081+118.24897980850302j),(-11.66616447529944+47.80241523465588j),(21.766193587048505+46.78701423505596j),(-26.611328125-1.2685919000748616j),(6.208830858355672+92.83873925936992j),(74.70703125-12.20703125j),(-14.100838390541135-12.211843523564145j),(22.216796875+4.651503633607825j),(-5.164631087048509-15.712985764944024j),(-1.5174292747005467+2.9788347653441187j),(-2.478552388243709-0.3332499085629195j),(1.953125+1.1102230246251565e-16j),(-2.4785523882437204+0.3332499085629088j),(-1.5174292747005547-2.978834765344118j),(-5.164631087048512+15.71298576494403j),(22.216796875-4.651503633607825j),(-14.100838390541142+12.211843523564143j),(74.70703124999999+12.20703125j),(6.208830858355671-92.8387392593699j),(-26.611328125+1.2685919000748616j),(21.766193587048512-46.78701423505596j),(-11.666164475299446-47.80241523465588j),(-44.31694007957081-118.24897980850304j)
foo,(-210.9375+0j),(-7.370487928741699+133.17858922840026j),(-4.651503633607817+15.47663692514972j),(11.951493849065926+40.40465690504353j),(-50.537109375+14.800238834206713j),(50.855793779931375+139.85545332516878j),(121.58203125-62.01171875j),(-33.06045016241629-32.42832039264575j),(24.169921875-8.88014330052403j),(-24.646806349065933-16.235968094956455j),(4.651503633607824+10.402269324850284j),(-3.588918188773391-0.201699553785204j),(8.789062499999993+8.881784197001252e-16j),(-3.5889181887733965+0.20169955378518978j),(4.651503633607825-10.402269324850277j),(-24.646806349065926+16.235968094956455j),(24.169921875+8.88014330052403j),(-33.06045016241628+32.428320392645766j),(121.58203125+62.01171875j),(50.855793779931375-139.85545332516875j),(-50.53710937499999-14.800238834206713j),(11.951493849065931-40.404656905043524j),(-4.651503633607825-15.476636925149723j),(-7.370487928741696-133.17858922840026j)
foo,(-1190.91796875+0j),(1096.0326042548047+611.0234086131001j),(-705.6860709045723+113.72851899363809j),(1238.1928411140714+855.530454578829j),(-2090.8203125+304.4620560179668j),(2274.238388276708+5985.888527724355j),(5842.7734375-1687.98828125j),(-48.3213420334431-1277.8663107906439j),(2052.24609375+34.67484526871287j),(643.6430963859289-950.1336079211704j),(861.4477896545727+46.91601225636214j),(793.2847245019303+69.11418462809934j),(1265.1367187499995-1.1368683772161603e-13j),(793.2847245019307-69.11418462809945j),(861.4477896545726-46.91601225636199j),(643.6430963859291+950.1336079211703j),(2052.24609375-34.67484526871287j),(-48.32134203344316+1277.866310790644j),(5842.7734375+1687.9882812499998j),(2274.238388276708-5985.888527724355j),(-2090.8203125-304.4620560179667j),(1238.1928411140711-855.5304545788289j),(-705.6860709045726-113.728518993638j),(1096.0326042548045-611.0234086131004j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,(781.73828125+0j),(1595.1347874221228-14.13538475749948j),(689.697265625+84.99565730501604j),(1634.5714203900939+103.86089198300101j),(492.431640625+1244.4886539734389j),(5752.355689480764+1021.190799670968j),(2193.359375-5998.53515625j),(-1973.1643469523106-1020.6852937235019j),(492.431640625-1244.4886539734389j),(-1193.1651703900939-103.17035801699876j),(689.6972656250001-84.99565730501536j),(-474.9120674505775+16.021958636970567j),(784.66796875-1.1368683772161603e-13j),(-474.9120674505773-16.021958636970737j),(689.697265625+84.9956573050157j),(-1193.1651703900939+103.17035801699866j),(492.431640625+1244.4886539734389j),(-1973.1643469523106+1020.6852937235019j),(2193.359375+5998.53515625j),(5752.355689480765-1021.1907996709679j),(492.431640625-1244.4886539734389j),(1634.571420390094-103.86089198300095j),(689.697265625-84.9956573050157j),(1595.1347874221228+14.135384757499523j)
foo,(-143.06640625+0j),(10.07424587343278+98.19304558934283j),(7.96086307485028+3.8057757002245864j),(10.964767638044785+40.128792082067164j),(9.033203125+24.9489740348056j),(75.94695803079475+47.66727465141635j),(55.17578125-82.03125j),(-36.60651887959696-12.959107880769114j),(15.869140625-8.034415367140788j),(-13.894455138044785-2.8399579179328223j),(13.035230675149723-3.8057757002245793j),(-11.32874752463055-1.3368218784716994j),(11.23046875+0j),(-11.328747524630556+1.3368218784716923j),(13.035230675149723+3.805775700224584j),(-13.894455138044783+2.8399579179328214j),(15.869140625+8.034415367140788j),(-36.60651887959697+12.95910788076911j),(55.17578125+82.03125j),(75.94695803079475-47.667274651416335j),(9.033203125-24.9489740348056j),(10.964767638044782-40.128792082067164j),(7.960863074850277-3.805775700224584j),(10.074245873432773-98.19304558934283j)
foo,(-276.85546875+0j),(19.939922225777472+197.97902448111003j),(45.365705734281576-6.609325383233511j),(-0.112523133935305+30.698270354047256j),(-11.230468749999998+56.66377153667713j),(144.849764976956+74.86879824081333j),(65.91796875-166.015625j),(-85.17679840809342-5.317014789126276j),(24.90234375-14.377374867515094j),(-36.02028936606468-4.457979645952721j),(13.228044265718431-9.992237116766475j),(-34.69101379464006+2.774212511049683j),(18.066406249999996-3.552713678800501e-15j),(-34.691013794640064-2.7742125110496882j),(13.228044265718424+9.992237116766482j),(-36.02028936606468+4.457979645952705j),(24.90234375+14.377374867515094j),(-85.17679840809342+5.317014789126292j),(65.91796875+166.015625j),(144.849764976956-74.86879824081333j),(-11.23046875-56.66377153667713j),(-0.11252313393531921-30.698270354047253j),(45.365705734281576+6.609325383233518j),(19.939922225777472-197.97902448111006j)
foo,(583.0078125+0j),(1167.5494499198758-18.415014247395618j),(487.3046875+356.0514599543444j),(1545.2159516400939+71.63432948300147j),(175.78125+1332.0214950786044j),(5683.358995733011+1239.3376166608643j),(2258.30078125-5998.53515625j),(-2042.1610407000635-1238.832110713398j),(175.78125-1332.0214950786042j),(-1282.5206391400939-70.94379551699876j),(487.3046875000001-356.0514599543435j),(-902.4974049528246+20.301588126866363j),(585.9375-1.1368683772161603e-13j),(-902.4974049528244-20.301588126866864j),(487.3046875+356.0514599543444j),(-1282.5206391400939+70.94379551699853j),(175.78125+1332.0214950786042j),(-2042.1610407000635+1238.8321107133982j),(2258.30078125+5998.53515625j),(5683.358995733012-1239.3376166608641j),(175.78125-1332.0214950786044j),(1545.215951640094-71.6343294830012j),(487.3046875-356.0514599543444j),(1167.5494499198758+18.41501424739568j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,(-177.734375+0j),(8.927546285197785+117.45633243168209j),(10.558767408682687-20.95633998390727j),(-19.032805038978854+34.85163786108334j),(24.169921875+8.034415367140788j),(22.652789734346257-24.50053818132796j),(-38.57421875-56.15234375j),(-50.31892940126245+25.927624673463157j),(-4.150390625-2.9600477668413427j),(-30.771882461021143+11.414137861083343j),(-1.2814236586826873-1.5045975160927298j),(-28.136406618281576+5.5047320768909795j),(2.9296875-8.881784197001252e-16j),(-28.136406618281576-5.504732076890972j),(-1.2814236586826855+1.5045975160927298j),(-30.77188246102115-11.414137861083354j),(-4.150390625+2.9600477668413427j),(-50.31892940126246-25.927624673463153j),(-38.57421875+56.15234375j),(22.652789734346257+24.50053818132796j),(24.169921875-8.034415367140788j),(-19.032805038978857-34.85163786108335j),(10.558767408682685+20.95633998390727j),(8.92754628519778-117.45633243168209j)
foo,(-221.19140625+0j),(-33.68633029055768+150.66399314353757j),(33.18433800149722+6.050930100299446j),(-33.5136909029888+9.524461257036073j),(13.18359375+32.98338940194639j),(37.55545962744344-55.83155501809489j),(-91.796875-75.68359375j),(-75.23262340962891+51.400607439241504j),(-10.25390625+4.228639666916204j),(-39.7284965970112+10.501023757036073j),(-17.55933800149723-4.097805100299439j),(-42.89431842725687+9.252143186201163j),(-7.32421875-3.552713678800501e-15j),(-42.89431842725686-9.252143186201156j),(-17.559338001497224+4.097805100299445j),(-39.728496597011194-10.50102375703608j),(-10.25390625-4.228639666916204j),(-75.2326234096289-51.400607439241504j),(-91.796875+75.68359375j),(37.55545962744345+55.83155501809489j),(13.18359375-32.98338940194638j),(-33.5136909029888-9.524461257036084j),(33.184338001497224-6.050930100299445j),(-33.68633029055767-150.66399314353754j)
