words,fft_0.00Hz,fft_10.67Hz,fft_21.33Hz,fft_32.00Hz,fft_42.67Hz,fft_53.33Hz,fft_64.00Hz,fft_74.67Hz,fft_85.33Hz,fft_96.00Hz,fft_106.67Hz,fft_117.33Hz,fft_-128.00Hz,fft_-117.33Hz,fft_-106.67Hz,fft_-96.00Hz,fft_-85.33Hz,fft_-74.67Hz,fft_-64.00Hz,fft_-53.33Hz,fft_-42.67Hz,fft_-32.00Hz,fft_-21.33Hz,fft_-10.67Hz
foo,(1387.20703125+0j),(-1727.452941759445-1090.0906241501973j),(-11.766975986526177+205.18295883794985j),(-1680.7998536399714-761.0829453443341j),(1146.728515625+131.5106936410939j),(-2728.535179724873-4887.513166245995j),(-5800.78125+2704.58984375j),(491.4621383027163+2271.4346460437027j),(-1237.060546875+474.0305066613065j),(-31.114208860028327+1130.518617155665j),(-185.98693026347428+48.723291162050145j),(-323.55995431839915-360.3665614398956j),(-1209.4726562499998+2.842170943040401e-14j),(-323.5599543183987+360.3665614398959j),(-185.98693026347382-48.72329116205023j),(-31.114208860028157-1130.5186171556652j),(-1237.060546875-474.0305066613065j),(491.4621383027165-2271.4346460437027j),(-5800.78125-2704.58984375j),(-2728.535179724873+4887.513166245995j),(1146.7285156249998-131.51069364109392j),(-1680.7998536399718+761.082945344334j),(-11.766975986526191-205.18295883794977j),(-1727.452941759445+1090.090624150197j)
foo,(285.64453125+0j),(-1335.7633882790483-379.637715136756j),(-65.24727904303677-271.8445855198371j),(-1782.313578093707-330.480587423164j),(1292.48046875-421.1725108248539j),(-3718.5223398379003-4515.631530808933j),(-5245.60546875+3515.625j),(654.9671249396897+1978.4087279702844j),(-1136.71875+822.8932791818933j),(275.47764059370695+794.5194125768355j),(-583.6785022069639+118.03599176983676j),(-93.84545932274136+40.384526084026675j),(-808.10546875+0j),(-93.84545932274125-40.384526084025936j),(-583.6785022069632-118.03599176983701j),(275.47764059370695-794.5194125768357j),(-1136.71875-822.8932791818933j),(654.9671249396898-1978.4087279702842j),(-5245.60546875-3515.625j),(-3718.5223398379003+4515.631530808932j),(1292.48046875+421.1725108248539j),(-1782.3135780937068+330.48058742316397j),(-65.24727904303671+271.844585519837j),(-1335.7633882790483+379.637715136756j)
foo,(-5425.29296875+0j),(-488.0891650125203+3413.26940487418j),(-55.07404845995532+160.9841122136984j),(-280.0929568314451+1136.3947080141943j),(-24.90234375+153.92248387574983j),(171.99119244365681+669.9888519703915j),(34.66796875-769.53125j),(-888.361181150242+434.3695505310342j),(157.2265625-5.9200955336826855j),(-588.071105668555+81.7072080141943j),(-0.10173279004467517-20.847393463698324j),(-569.9549087808944-7.361293686462318j),(-83.49609375-1.4210854715202004e-14j),(-569.9549087808944+7.361293686462545j),(-0.10173279004467517+20.84739346369838j),(-588.071105668555-81.70720801419475j),(157.2265625+5.9200955336826855j),(-888.3611811502421-434.36955053103406j),(34.66796875+769.53125j),(171.99119244365687-669.9888519703915j),(-24.902343749999996-153.92248387574983j),(-280.09295683144495-1136.3947080141943j),(-55.07404845995532-160.98411221369838j),(-488.0891650125205-3413.26940487418j)
foo,(-1714.84375+0j),(1089.6700410157396+1644.5866265277732j),(879.1325249053152+515.2475078278449j),(1733.930912561514+134.74993064589125j),(-882.0800781249999+856.2995325505314j),(4369.568251159664+3705.310816863179j),(4370.60546875-4069.82421875j),(-857.414076500973-1353.3513369018046j),(1378.173828125-1036.4395823611617j),(-772.0168500615141-750.0156943541082j),(698.9924750946852+418.83452342215537j),(433.3320343255689-81.90746970724263j),(819.3359374999998-1.1368683772161603e-13j),(433.3320343255692+81.90746970724248j),(698.9924750946849-418.83452342215526j),(-772.0168500615143+750.0156943541081j),(1378.173828125+1036.4395823611617j),(-857.4140765009731+1353.3513369018046j),(4370.60546875+4069.82421875j),(4369.568251159663-3705.310816863179j),(-882.080078125-856.2995325505312j),(1733.930912561514-134.74993064589134j),(879.1325249053151-515.2475078278447j),(1089.6700410157396-1644.586626527773j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
foo,(379.8828125+0j),(-746.6136852787854-387.5991684842961j),(-213.8671875-315.4565191519491j),(-1267.872201640094-264.30317051699853j),(-673.33984375-788.2184339131804j),(-4678.025229124101+708.6194271477646j),(631.34765625+5998.53515625j),(3047.494807308973-708.1139212002986j),(-673.33984375+788.2184339131804j),(1559.8643891400939+264.99370448300124j),(-213.8671874999999+315.4565191519482j),(1323.4331695939145+389.4857423637669j),(382.8124999999999+5.684341886080802e-14j),(1323.4331695939143-389.4857423637672j),(-213.8671875-315.45651915194884j),(1559.8643891400939-264.9937044830012j),(-673.33984375-788.2184339131804j),(3047.494807308973+708.1139212002986j),(631.3476562499999-5998.53515625j),(-4678.025229124102-708.6194271477647j),(-673.3398437499999+788.2184339131804j),(-1267.872201640094+264.30317051699893j),(-213.8671875+315.45651915194884j),(-746.6136852787854+387.59916848429606j)
foo,(-317.3828125+0j),(-875.9119207102253-86.94520932263805j),(-621.3926559187876-196.53252870209735j),(-1218.3027241189857+341.99070782210424j),(-557.861328125-820.7789593484351j),(-4693.207797370258+1242.9768518085114j),(1405.2734375+5956.0546875j),(3009.447168363514-1160.9108880515296j),(-514.404296875+748.8920850108598j),(1549.357411618986-283.98585467789553j),(-549.5057815812122+156.9817474520969j),(1115.3366122169693+108.93471803740317j),(-233.39843750000006+5.684341886080802e-14j),(1115.3366122169698-108.93471803740341j),(-549.5057815812123-156.98174745209732j),(1549.3574116189857+283.98585467789536j),(-514.404296875-748.8920850108598j),(3009.447168363514+1160.9108880515298j),(1405.2734374999998-5956.0546875j),(-4693.207797370258-1242.9768518085111j),(-557.861328125+820.7789593484351j),(-1218.302724118986-341.99070782210424j),(-621.3926559187877+196.53252870209732j),(-875.9119207102252+86.94520932263804j)
foo,(-5504.39453125+0j),(-552.4575178086695+3367.4104873643473j),(-283.7039007971565+76.48017441803913j),(-432.15590974881707+1378.515571175713j),(174.072265625-14.800238834206716j),(-406.941400498369+416.38226406169235j),(-226.5625-193.84765625j),(-683.3461802359127+514.5250850437426j),(62.744140625+63.85245897043468j),(-533.6644027511829+127.53900867571315j),(-97.64375545284351+29.965138081960873j),(-505.69240145704896+119.85360388229753j),(18.066406250000014+8.881784197001252e-16j),(-505.6924014570491-119.85360388229753j),(-97.64375545284351-29.965138081960877j),(-533.6644027511828-127.53900867571315j),(62.744140625-63.85245897043468j),(-683.3461802359125-514.5250850437426j),(-226.5625+193.84765625j),(-406.94140049836903-416.38226406169235j),(174.072265625+14.800238834206716j),(-432.15590974881707-1378.515571175713j),(-283.7039007971565-76.48017441803913j),(-552.4575178086694-3367.4104873643473j)
foo,(-61.03515625+0j),(628.4878944634352+229.7484695187302j),(620.2511231145218-76.51523143450595j),(536.393632685487-681.1278063810084j),(252.68554687499997+950.175333156071j),(4201.553008169377-1770.4160663753369j),(-2374.0234375-5760.25390625j),(-3295.5561389373343+1371.258259427822j),(-102.783203125-740.4348056770274j),(-1954.3623826854869+676.2940686189909j),(410.510595635478-36.766018565493596j),(-1373.351951195478-124.8164812844285j),(-65.91796875000001-5.684341886080802e-14j),(-1373.351951195478+124.81648128442862j),(410.5105956354781+36.76601856549384j),(-1954.3623826854869-676.2940686189911j),(-102.783203125+740.4348056770274j),(-3295.5561389373347-1371.2582594278217j),(-2374.0234375+5760.25390625j),(4201.553008169377+1770.4160663753364j),(252.68554687500006-950.175333156071j),(536.3936326854871+681.1278063810089j),(620.2511231145219+76.51523143450616j),(628.4878944634352-229.74846951873022j)
foo,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
