timestamps,words,terms,TP9,AF7,AF8,TP10,Right AUX,Marker
1713993500.8913236,1,HELLO,-99.12109375,39.0625,-426.7578125,999.51171875,0.0,0
1713993500.8951807,1,HELLO,-1000.0,-1000.0,-757.8125,193.84765625,0.0,0
1713993500.899038,1,HELLO,-226.5625,-252.44140625,-646.97265625,-1000.0,0.0,0
1713993500.9028952,1,HELLO,999.51171875,999.51171875,-234.375,-258.7890625,0.0,0
1713993500.9067523,1,HELLO,244.62890625,244.140625,-339.35546875,999.51171875,0.0,0
1713993500.9106095,1,HELLO,-1000.0,-1000.0,-688.4765625,502.9296875,0.0,0
1713993500.9144666,1,HELLO,-503.90625,-665.0390625,-653.3203125,-1000.0,0.0,0
1713993500.918324,1,HELLO,999.51171875,981.93359375,-234.375,-563.96484375,0.0,0
1713993500.9221811,1,HELLO,419.921875,524.90234375,-276.85546875,990.72265625,0.0,0
1713993500.9260383,1,HELLO,-1000.0,-989.74609375,-671.875,988.28125,0.0,0
1713993500.9298954,1,HELLO,-1000.0,-1000.0,-743.65234375,-427.24609375,0.0,0
1713993500.9337525,1,HELLO,463.37890625,239.74609375,-462.890625,-1000.0,0.0,0
1713993500.938353,1,HELLO,950.1953125,999.51171875,-184.08203125,231.4453125,0.0,0
1713993500.9422107,1,HELLO,-586.42578125,-417.48046875,-483.88671875,999.51171875,0.0,0
1713993500.9460683,1,HELLO,-1000.0,-1000.0,-728.02734375,42.96875,0.0,0
1713993500.949926,1,HELLO,-95.21484375,-201.171875,-619.62890625,-1000.0,0.0,0
1713993500.9537838,1,HELLO,999.51171875,999.51171875,-251.953125,-246.09375,0.0,0
1713993500.9576414,1,HELLO,16.11328125,154.78515625,-352.05078125,999.51171875,0.0,0
1713993500.961499,1,HELLO,-1000.0,-1000.0,-653.80859375,238.76953125,0.0,0
1713993500.9653566,1,HELLO,-234.86328125,-356.93359375,-713.8671875,-1000.0,0.0,0
1713993500.9692144,1,HELLO,999.51171875,999.51171875,-318.359375,-399.4140625,0.0,0
1713993500.973072,1,HELLO,244.140625,246.58203125,-316.89453125,999.51171875,0.0,0
1713993500.9769297,1,HELLO,-1000.0,-1000.0,-671.38671875,518.06640625,0.0,0
1713993500.9807873,1,HELLO,-648.92578125,-828.125,-779.78515625,-1000.0,0.0,0
1713993500.9853473,1,HELLO,999.51171875,787.59765625,-379.8828125,-870.60546875,0.0,0
1713993500.9892054,1,HELLO,521.97265625,645.99609375,-201.171875,669.921875,0.0,0
1713993500.9930634,1,HELLO,-993.65234375,-911.1328125,-568.84765625,999.51171875,0.0,0
1713993500.9969218,1,HELLO,-1000.0,-1000.0,-756.34765625,-411.62109375,0.0,0
1713993501.0007799,1,HELLO,253.90625,62.01171875,-533.203125,-1000.0,0.0,0
1713993501.004638,1,HELLO,999.51171875,999.51171875,-109.375,45.41015625,0.0,0
1713993501.008496,1,HELLO,-401.85546875,-227.05078125,-379.39453125,999.51171875,0.0,0
1713993501.0123541,1,HELLO,-1000.0,-1000.0,-740.234375,144.53125,0.0,0
1713993501.0162125,1,HELLO,-207.03125,-217.7734375,-627.44140625,-1000.0,0.0,0
1713993501.0200706,1,HELLO,999.51171875,999.51171875,-56.640625,-256.34765625,0.0,0
1713993501.0239286,1,HELLO,138.18359375,227.5390625,-290.52734375,999.51171875,0.0,0
1713993501.0277867,1,HELLO,-1000.0,-1000.0,-788.57421875,240.234375,0.0,0
1713993501.0322983,1,HELLO,-327.63671875,-473.6328125,-669.43359375,-1000.0,0.0,0
1713993501.036157,1,HELLO,999.51171875,999.51171875,-253.90625,-499.0234375,0.0,0
1713993501.0400155,1,HELLO,253.90625,331.54296875,-334.47265625,999.51171875,0.0,0
1713993501.043874,1,HELLO,-1000.0,-1000.0,-710.9375,588.37890625,0.0,0
1713993501.0477326,1,HELLO,-729.4921875,-867.67578125,-723.14453125,-965.8203125,0.0,0
1713993501.0515912,1,HELLO,938.4765625,740.72265625,-318.359375,-1000.0,0.0,0
1713993501.0554497,1,HELLO,645.99609375,786.1328125,-169.43359375,417.48046875,0.0,0
1713993501.0593083,1,HELLO,-918.45703125,-759.765625,-575.1953125,999.51171875,0.0,0
1713993501.0631669,1,HELLO,-1000.0,-1000.0,-703.61328125,-342.28515625,0.0,0
